Directed Walk, DT, DT, DT, DT
,45816,3077,100,2977
,44243,2889,100,2789
,46990,3175,100,3075
,44504,2868,100,2768
,44858,2976,100,2876
,47818,3376,100,3276
,44918,3021,100,2921
,44665,2955,100,2855
,45924,3052,100,2952
,45594,3010,100,2910
Avg of 100
,90379,5852,200,5652
,89606,5852,200,5652
,92872,6427,200,6227
,91315,6156,200,5956
,88282,5748,200,5548
,92993,6334,200,6134
,89464,5955,200,5755
,90693,6047,200,5847
,90513,6100,200,5900
,88314,5776,200,5576
Avg of 200
,132199,8490,300,8190
,134741,9143,300,8843
,135199,9028,300,8728
,138564,9448,300,9148
,136233,9064,300,8764
,135555,8956,300,8656
,139143,9477,300,9177
,139785,9382,300,9082
,137325,9129,300,8829
,135223,8861,300,8561
Avg of 300
,181400,12003,400,11603
,179093,11863,400,11463
,184559,12325,400,11925
,181951,12277,400,11877
,179706,11871,400,11471
,181483,12104,400,11704
,186505,12622,400,12222
,181973,12366,400,11966
,182832,12203,400,11803
,182129,12348,400,11948
Avg of 400
,231087,15730,500,15230
,223565,14744,500,14244
,226626,14779,500,14279
,230202,15358,500,14858
,227581,15318,500,14818
,228673,15134,500,14634
,225326,15000,500,14500
,224754,15088,500,14588
,231099,15721,500,15221
,227480,15164,500,14664
Avg of 500
,270514,17836,600,17236
,277800,18760,600,18160
,273993,18318,600,17718
,270785,18023,600,17423
,273629,18347,600,17747
,275126,18556,600,17956
,271829,18174,600,17574
,272662,18202,600,17602
,271579,18109,600,17509
,272041,18145,600,17545
Avg of 600
,319027,21312,700,20612
,316612,21109,700,20409
,320196,21503,700,20803
,318605,21054,700,20354
,311781,20324,700,19624
,318628,21248,700,20548
,316916,20945,700,20245
,316509,21001,700,20301
,321416,21689,700,20989
,322431,21715,700,21015
Avg of 700
,362366,24247,800,23447
,364654,24572,800,23772
,366958,24623,800,23823
,362511,23949,800,23149
,369900,24732,800,23932
,371094,25273,800,24473
,364753,24499,800,23699
,361515,24051,800,23251
,357886,23725,800,22925
,364177,24513,800,23713
Avg of 800
,409485,27159,900,26259
,410975,27468,900,26568
,413717,27878,900,26978
,407723,27123,900,26223
,412492,27786,900,26886
,412688,27730,900,26830
,410809,27708,900,26808
,410511,27416,900,26516
,416410,28305,900,27405
,407288,27077,900,26177
Avg of 900
,452499,30349,1000,29349
,460297,31098,1000,30098
