Random Target, DT, DT, DT, DT
,1019,10209,10127,82
,905,10199,10127,72
,878,10197,10127,70
,632,10169,10127,42
,862,10197,10127,70
,903,10200,10127,73
,958,10205,10127,78
,1079,10219,10127,92
,788,10184,10127,57
,928,10202,10127,75
Avg of 100
,1816,10269,10127,142
,1542,10245,10127,118
,1850,10276,10127,149
,1968,10290,10127,163
,1778,10266,10127,139
,1884,10274,10127,147
,1919,10276,10127,149
,1781,10266,10127,139
,1933,10283,10127,156
,1886,10279,10127,152
Avg of 200
,2775,10350,10127,223
,2643,10339,10127,212
,2909,10365,10127,238
,2600,10335,10127,208
,2817,10345,10127,218
,2945,10367,10127,240
,2475,10318,10127,191
,2724,10341,10127,214
,2670,10330,10127,203
,2665,10334,10127,207
Avg of 300
,3378,10386,10127,259
,3641,10416,10127,289
,3397,10400,10127,273
,3582,10409,10127,282
,3436,10403,10127,276
,3785,10432,10127,305
,3480,10401,10127,274
,3440,10397,10127,270
,3516,10407,10127,280
,3428,10393,10127,266
Avg of 400
,3915,10425,10127,298
,4211,10451,10127,324
,4454,10479,10127,352
,4620,10499,10127,372
,4741,10505,10127,378
,4347,10475,10127,348
,4699,10514,10127,387
,4592,10489,10127,362
,4425,10479,10127,352
,4214,10453,10127,326
Avg of 500
,5504,10567,10127,440
,5081,10527,10127,400
,5229,10548,10127,421
,5240,10539,10127,412
,5596,10581,10127,454
,5298,10544,10127,417
,5019,10519,10127,392
,5337,10555,10127,428
,4986,10508,10127,381
,5580,10580,10127,453
Avg of 600
,6126,10614,10127,487
,5914,10593,10127,466
,6127,10613,10127,486
,5931,10595,10127,468
,5561,10552,10127,425
,5914,10593,10127,466
,5619,10564,10127,437
,6115,10613,10127,486
,6059,10605,10127,478
,6535,10653,10127,526
Avg of 700
,7151,10705,10127,578
,7028,10680,10127,553
,6684,10655,10127,528
,6632,10653,10127,526
,7093,10686,10127,559
,7106,10692,10127,565
,6686,10654,10127,527
,7088,10695,10127,568
,6439,10632,10127,505
,6994,10683,10127,556
Avg of 800
,7500,10717,10127,590
,8057,10777,10127,650
,7923,10774,10127,647
,8351,10811,10127,684
,7693,10732,10127,605
,7630,10742,10127,615
,7668,10733,10127,606
,7637,10730,10127,603
,7667,10727,10127,600
,7671,10729,10127,602
Avg of 900
,8438,10804,10127,677
,8822,10838,10127,711
,8716,10814,10127,687
,8725,10830,10127,703
,8959,10844,10127,717
,8797,10841,10127,714
,8573,10813,10127,686
,8861,10841,10127,714
,8663,10820,10127,693
,8403,10804,10127,677
Avg of 1000
Random Target, DT2, DT2, DT2, DT2
,1130,10221,10127,94
,1095,10215,10127,88
,1073,10215,10127,88
,1000,10208,10127,81
,936,10201,10127,74
,790,10189,10127,62
,942,10198,10127,71
,1098,10217,10127,90
,868,10192,10127,65
,1046,10211,10127,84
Avg of 100
,1969,10280,10127,153
,1777,10267,10127,140
,1920,10275,10127,148
,1949,10281,10127,154
,1792,10266,10127,139
,1925,10278,10127,151
,2104,10300,10127,173
,1957,10283,10127,156
,2161,10304,10127,177
,1775,10264,10127,137
Avg of 200
,2653,10337,10127,210
,2707,10337,10127,210
,2646,10330,10127,203
,2771,10347,10127,220
,2812,10355,10127,228
,2627,10333,10127,206
,2652,10331,10127,204
,2705,10342,10127,215
,2667,10335,10127,208
,2723,10337,10127,210
Avg of 300
,3675,10422,10127,295
,3604,10403,10127,276
,3791,10435,10127,308
,4062,10457,10127,330
,3853,10439,10127,312
,3638,10415,10127,288
,3885,10445,10127,318
,3696,10415,10127,288
,3728,10418,10127,291
,4004,10444,10127,317
Avg of 400
,4457,10482,10127,355
,4636,10496,10127,369
,4809,10512,10127,385
,4882,10516,10127,389
,4889,10514,10127,387
,4821,10512,10127,385
,4796,10503,10127,376
,4736,10502,10127,375
,4470,10477,10127,350
,4541,10481,10127,354
Avg of 500
,5344,10546,10127,419
,5699,10596,10127,469
,5429,10554,10127,427
,5670,10590,10127,463
,5690,10576,10127,449
,5338,10550,10127,423
,5935,10605,10127,478
,5853,10587,10127,460
,5451,10560,10127,433
,6241,10631,10127,504
Avg of 600
,6352,10643,10127,516
,6522,10641,10127,514
,6660,10668,10127,541
,6524,10644,10127,517
,6645,10665,10127,538
,6452,10649,10127,522
,6790,10672,10127,545
,7083,10704,10127,577
,6962,10684,10127,557
,6615,10652,10127,525
Avg of 700
,7361,10710,10127,583
,7504,10723,10127,596
,7261,10703,10127,576
,7794,10764,10127,637
,7686,10743,10127,616
,7809,10767,10127,640
,7314,10716,10127,589
,7497,10723,10127,596
,7506,10718,10127,591
,7446,10721,10127,594
Avg of 800
,8251,10781,10127,654
,8452,10810,10127,683
,8937,10858,10127,731
,8172,10779,10127,652
,9110,10857,10127,730
,8961,10860,10127,733
,8273,10799,10127,672
,8257,10776,10127,649
,8236,10776,10127,649
,8332,10795,10127,668
Avg of 900
,9562,10900,10127,773
,8793,10822,10127,695
,9255,10872,10127,745
,9019,10851,10127,724
,9892,10919,10127,792
,9199,10867,10127,740
,9337,10872,10127,745
,9280,10867,10127,740
,9418,10879,10127,752
,9214,10869,10127,742
Avg of 1000
Random Target, HV, HV, HV, HV
,724,10181,10127,54
,760,10184,10127,57
,633,10173,10127,46
,834,10190,10127,63
,734,10182,10127,55
,677,10174,10127,47
,751,10182,10127,55
,741,10179,10127,52
,776,10186,10127,59
,645,10174,10127,47
Avg of 100
,1604,10240,10127,113
,1383,10227,10127,100
,1532,10241,10127,114
,1521,10233,10127,106
,1522,10236,10127,109
,1241,10215,10127,88
,1370,10223,10127,96
,1298,10219,10127,92
,1509,10238,10127,111
,1213,10211,10127,84
Avg of 200
,2216,10292,10127,165
,2196,10289,10127,162
,1875,10261,10127,134
,2008,10270,10127,143
,2180,10283,10127,156
,2086,10275,10127,148
,2103,10276,10127,149
,2309,10305,10127,178
,1843,10255,10127,128
,2098,10280,10127,153
Avg of 300
,3134,10365,10127,238
,2675,10318,10127,191
,2796,10336,10127,209
,2728,10324,10127,197
,3060,10358,10127,231
,2878,10335,10127,208
,2712,10318,10127,191
,2565,10308,10127,181
,2964,10338,10127,211
,2921,10344,10127,217
Avg of 400
,3247,10358,10127,231
,3614,10392,10127,265
,3768,10416,10127,289
,3458,10375,10127,248
,3438,10368,10127,241
,3942,10415,10127,288
,3493,10383,10127,256
,3698,10397,10127,270
,3396,10370,10127,243
,3622,10385,10127,258
Avg of 500
,4618,10469,10127,342
,3836,10397,10127,270
,4102,10430,10127,303
,4502,10459,10127,332
,4171,10420,10127,293
,3854,10396,10127,269
,3819,10401,10127,274
,4107,10418,10127,291
,4367,10451,10127,324
,4169,10427,10127,300
Avg of 600
,4961,10501,10127,374
,5433,10520,10127,393
,4656,10467,10127,340
,4800,10469,10127,342
,4892,10495,10127,368
,5245,10518,10127,391
,4842,10486,10127,359
,4879,10474,10127,347
,4736,10459,10127,332
,5004,10488,10127,361
Avg of 700
,5819,10571,10127,444
,5806,10560,10127,433
,5453,10518,10127,391
,5319,10498,10127,371
,5399,10520,10127,393
,5685,10537,10127,410
,5765,10552,10127,425
,5707,10545,10127,418
,5060,10479,10127,352
,5473,10515,10127,388
Avg of 800
,6352,10589,10127,462
,6190,10587,10127,460
,6203,10576,10127,449
,6203,10583,10127,456
,6545,10615,10127,488
,6543,10605,10127,478
,5876,10548,10127,421
,6152,10575,10127,448
,6383,10609,10127,482
,7193,10683,10127,556
Avg of 900
,6908,10634,10127,507
,6968,10636,10127,509
,6928,10642,10127,515
,7245,10670,10127,543
,7120,10652,10127,525
,7052,10657,10127,530
,7126,10669,10127,542
,7425,10684,10127,557
,7039,10648,10127,521
,7384,10689,10127,562
Avg of 1000
Random Target, HV2, HV2, HV2, HV2
,663,10171,10127,44
,752,10179,10127,52
,807,10189,10127,62
,581,10167,10127,40
,597,10164,10127,37
,712,10179,10127,52
,693,10175,10127,48
,603,10168,10127,41
,756,10179,10127,52
,703,10172,10127,45
Avg of 100
,1501,10232,10127,105
,1325,10223,10127,96
,1396,10224,10127,97
,1227,10209,10127,82
,1491,10234,10127,107
,1505,10237,10127,110
,1313,10214,10127,87
,1408,10228,10127,101
,1196,10205,10127,78
,1276,10209,10127,82
Avg of 200
,2276,10293,10127,166
,2047,10270,10127,143
,1969,10264,10127,137
,2014,10271,10127,144
,2187,10292,10127,165
,2415,10298,10127,171
,1968,10266,10127,139
,1933,10257,10127,130
,2283,10292,10127,165
,2289,10285,10127,158
Avg of 300
,2673,10315,10127,188
,2881,10334,10127,207
