Random Walk , DT, DT, DT, DT
,1974,10291,10127,164
,1976,10297,10127,170
,1951,10288,10127,161
,1930,10289,10127,162
,1972,10277,10127,150
,2020,10271,10127,144
,1965,10289,10127,162
,1999,10267,10127,140
,1943,10294,10127,167
,1962,10288,10127,161
Avg of 100
,3879,10447,10127,320
,3916,10467,10127,340
,3899,10432,10127,305
,4023,10420,10127,293
,3851,10433,10127,306
,3920,10421,10127,294
,3929,10442,10127,315
,3872,10437,10127,310
,3978,10450,10127,323
,3878,10462,10127,335
Avg of 200
,6013,10599,10127,472
,5897,10586,10127,459
,6003,10558,10127,431
,6021,10573,10127,446
,5920,10600,10127,473
,5957,10585,10127,458
,5911,10601,10127,474
,5871,10600,10127,473
,5877,10620,10127,493
,5873,10595,10127,468
Avg of 300
,7817,10754,10127,627
,7950,10759,10127,632
,7908,10766,10127,639
,7854,10760,10127,633
,7866,10722,10127,595
,7864,10754,10127,627
,7932,10743,10127,616
,7904,10763,10127,636
,7920,10762,10127,635
,7928,10756,10127,629
Avg of 400
,9808,10921,10127,794
,9813,10895,10127,768
,9850,10927,10127,800
,9941,10907,10127,780
,9853,10912,10127,785
,9812,10921,10127,794
,9686,10922,10127,795
,9940,10896,10127,769
,9817,10895,10127,768
,9892,10927,10127,800
Avg of 500
,11852,11116,10127,989
,11811,11049,10127,922
,11820,11057,10127,930
,11725,11063,10127,936
,11791,11067,10127,940
,11775,11089,10127,962
,11732,11096,10127,969
,11908,11080,10127,953
,11829,11091,10127,964
,11909,11064,10127,937
Avg of 600
,13647,11251,10127,1124
,13830,11197,10127,1070
,13621,11312,10127,1185
,13755,11199,10127,1072
,13710,11208,10127,1081
,13754,11235,10127,1108
,13752,11242,10127,1115
,13817,11211,10127,1084
,13809,11247,10127,1120
,13721,11243,10127,1116
Avg of 700
,15580,11410,10127,1283
,15750,11424,10127,1297
,15874,11404,10127,1277
,15729,11372,10127,1245
,15591,11405,10127,1278
,15658,11423,10127,1296
,15694,11372,10127,1245
,15716,11394,10127,1267
,15621,11391,10127,1264
,15869,11364,10127,1237
Avg of 800
,17812,11542,10127,1415
,17575,11534,10127,1407
,17692,11546,10127,1419
,17767,11544,10127,1417
,17696,11611,10127,1484
,17730,11565,10127,1438
,17562,11573,10127,1446
,17738,11510,10127,1383
,17742,11560,10127,1433
,17902,11541,10127,1414
Avg of 900
,19658,11708,10127,1581
,19609,11674,10127,1547
,19574,11733,10127,1606
,19625,11735,10127,1608
,19630,11728,10127,1601
,19800,11690,10127,1563
,19745,11654,10127,1527
,19661,11687,10127,1560
,19689,11682,10127,1555
,19774,11674,10127,1547
Avg of 1000
Random Walk , DT2, DT2, DT2, DT2
,2002,10201,10127,74
,1996,10190,10127,63
,2010,10203,10127,76
,1940,10211,10127,84
,1974,10187,10127,60
,1979,10189,10127,62
,1960,10197,10127,70
,2010,10187,10127,60
,2067,10171,10127,44
,2009,10178,10127,51
Avg of 100
,3956,10257,10127,130
,4020,10260,10127,133
,4039,10248,10127,121
,3983,10257,10127,130
,3900,10272,10127,145
,3939,10265,10127,138
,3983,10246,10127,119
,3979,10263,10127,136
,4037,10268,10127,141
,3913,10261,10127,134
Avg of 200
,5908,10360,10127,233
,5867,10356,10127,229
,5960,10320,10127,193
,5963,10336,10127,209
,5991,10306,10127,179
,5959,10305,10127,178
,6040,10338,10127,211
,5996,10307,10127,180
,5937,10340,10127,213
,5874,10364,10127,237
Avg of 300
,7950,10389,10127,262
,7913,10389,10127,262
,7969,10397,10127,270
,7980,10405,10127,278
,7917,10387,10127,260
,7872,10407,10127,280
,7897,10398,10127,271
,7906,10390,10127,263
,7994,10353,10127,226
,7907,10377,10127,250
Avg of 400
,10050,10441,10127,314
,9910,10479,10127,352
,9904,10458,10127,331
,10003,10451,10127,324
,9976,10421,10127,294
,9841,10470,10127,343
,9768,10465,10127,338
,9894,10448,10127,321
,9991,10492,10127,365
,9794,10478,10127,351
Avg of 500
,11862,10550,10127,423
,11872,10572,10127,445
,11883,10529,10127,402
,11887,10505,10127,378
,11857,10548,10127,421
,11804,10499,10127,372
,11879,10524,10127,397
,11909,10519,10127,392
,11840,10513,10127,386
,11994,10520,10127,393
Avg of 600
,14035,10544,10127,417
,13763,10628,10127,501
,13940,10621,10127,494
,13863,10625,10127,498
,13841,10610,10127,483
,14004,10558,10127,431
,13855,10585,10127,458
,13862,10606,10127,479
,13948,10603,10127,476
,13717,10649,10127,522
Avg of 700
,15835,10683,10127,556
,15917,10666,10127,539
,15924,10700,10127,573
,15908,10662,10127,535
,16024,10614,10127,487
,15996,10652,10127,525
,15803,10677,10127,550
,15899,10665,10127,538
,15880,10606,10127,479
,15913,10678,10127,551
Avg of 800
,17903,10777,10127,650
,17824,10734,10127,607
,17780,10721,10127,594
,17795,10750,10127,623
,17947,10711,10127,584
,17712,10719,10127,592
,17932,10697,10127,570
,17934,10744,10127,617
,17724,10735,10127,608
,17829,10751,10127,624
Avg of 900
,19922,10768,10127,641
,19815,10815,10127,688
,19628,10822,10127,695
,19954,10816,10127,689
,19786,10776,10127,649
,19889,10765,10127,638
,19643,10765,10127,638
,19631,10814,10127,687
,19870,10822,10127,695
,19836,10788,10127,661
Avg of 1000
Random Walk , HV, HV, HV, HV
,1916,10307,10127,180
,1932,10317,10127,190
,1886,10321,10127,194
,1972,10311,10127,184
,1904,10320,10127,193
,1939,10315,10127,188
,1876,10315,10127,188
,1906,10321,10127,194
,1952,10323,10127,196
,1972,10322,10127,195
Avg of 100
,3919,10514,10127,387
,3937,10509,10127,382
,3830,10511,10127,384
,3880,10508,10127,381
,3864,10509,10127,382
,3845,10517,10127,390
,3948,10504,10127,377
,3886,10517,10127,390
,3910,10514,10127,387
,3988,10510,10127,383
Avg of 200
,5864,10689,10127,562
,5781,10711,10127,584
,5729,10699,10127,572
,5875,10708,10127,581
,5860,10701,10127,574
,5776,10701,10127,574
,5905,10692,10127,565
,5838,10701,10127,574
,5741,10693,10127,566
,5865,10695,10127,568
Avg of 300
,7843,10875,10127,748
,7662,10892,10127,765
,7721,10904,10127,777
,7663,10889,10127,762
,7702,10901,10127,774
,7799,10888,10127,761
,7677,10887,10127,760
,7776,10899,10127,772
,7820,10887,10127,760
,7744,10899,10127,772
Avg of 400
,9738,11096,10127,969
,9503,11075,10127,948
,9764,11094,10127,967
,9709,11061,10127,934
,9562,11085,10127,958
,9662,11073,10127,946
,9671,11078,10127,951
,9691,11085,10127,958
,9796,11089,10127,962
,9795,11080,10127,953
Avg of 500
,11709,11275,10127,1148
,11750,11285,10127,1158
,11537,11269,10127,1142
,11741,11272,10127,1145
,11487,11291,10127,1164
,11752,11251,10127,1124
,11510,11285,10127,1158
,11606,11274,10127,1147
,11752,11287,10127,1160
,11578,11279,10127,1152
