Random Target, DT, DT, DT, DT
,346,8204,8124,80
,335,8200,8124,76
,317,8187,8124,63
,334,8197,8124,73
,357,8218,8124,94
,311,8189,8124,65
,338,8203,8124,79
,310,8185,8124,61
,332,8191,8124,67
,328,8196,8124,72
Avg of 100
,648,8267,8124,143
,628,8247,8124,123
,660,8279,8124,155
,647,8267,8124,143
,655,8270,8124,146
,649,8265,8124,141
,664,8272,8124,148
,675,8284,8124,160
,711,8294,8124,170
,649,8267,8124,143
Avg of 200
,992,8352,8124,228
,997,8356,8124,232
,934,8318,8124,194
,935,8324,8124,200
,996,8350,8124,226
,999,8353,8124,229
,965,8352,8124,228
,986,8354,8124,230
,1021,8366,8124,242
,1008,8373,8124,249
Avg of 300
,1290,8411,8124,287
,1220,8383,8124,259
,1265,8394,8124,270
,1315,8428,8124,304
,1286,8433,8124,309
,1263,8388,8124,264
,1366,8453,8124,329
,1326,8434,8124,310
,1293,8410,8124,286
,1321,8422,8124,298
Avg of 400
,1610,8487,8124,363
,1621,8505,8124,381
,1565,8475,8124,351
,1582,8478,8124,354
,1591,8492,8124,368
,1592,8484,8124,360
,1629,8501,8124,377
,1593,8475,8124,351
,1596,8487,8124,363
,1649,8516,8124,392
Avg of 500
,1980,8589,8124,465
,1896,8554,8124,430
,1958,8591,8124,467
,1998,8598,8124,474
,1916,8574,8124,450
,1939,8559,8124,435
,1983,8595,8124,471
,1917,8569,8124,445
,1840,8527,8124,403
,1876,8545,8124,421
Avg of 600
,2266,8659,8124,535
,2248,8644,8124,520
,2182,8608,8124,484
,2279,8683,8124,559
,2277,8662,8124,538
,2253,8649,8124,525
,2345,8709,8124,585
,2298,8664,8124,540
,2195,8630,8124,506
,2281,8666,8124,542
Avg of 700
,2575,8745,8124,621
,2561,8724,8124,600
,2541,8719,8124,595
,2530,8712,8124,588
,2470,8704,8124,580
,2589,8741,8124,617
,2514,8706,8124,582
,2647,8767,8124,643
,2638,8769,8124,645
,2578,8730,8124,606
Avg of 800
,2823,8779,8124,655
,2730,8754,8124,630
,2838,8791,8124,667
,2797,8767,8124,643
,2824,8791,8124,667
,2887,8834,8124,710
,2894,8839,8124,715
,2852,8825,8124,701
,2849,8810,8124,686
,2766,8770,8124,646
Avg of 900
,3057,8832,8124,708
,3083,8847,8124,723
,3174,8898,8124,774
,3192,8895,8124,771
,3134,8875,8124,751
,3105,8840,8124,716
,3166,8882,8124,758
,3121,8866,8124,742
,3152,8884,8124,760
,3175,8911,8124,787
Avg of 1000
Random Target, DT2, DT2, DT2, DT2
,322,8194,8124,70
,360,8215,8124,91
,292,8179,8124,55
,349,8201,8124,77
,328,8195,8124,71
,340,8202,8124,78
,329,8197,8124,73
,341,8203,8124,79
,364,8211,8124,87
,350,8205,8124,81
Avg of 100
,659,8271,8124,147
,670,8274,8124,150
,635,8262,8124,138
,681,8288,8124,164
,640,8266,8124,142
,638,8265,8124,141
,654,8272,8124,148
,634,8253,8124,129
,644,8263,8124,139
,694,8286,8124,162
Avg of 200
,976,8347,8124,223
,984,8355,8124,231
,979,8343,8124,219
,1004,8366,8124,242
,951,8335,8124,211
,1031,8381,8124,257
,933,8317,8124,193
,987,8352,8124,228
,1001,8354,8124,230
,986,8339,8124,215
Avg of 300
,1319,8426,8124,302
,1255,8393,8124,269
,1266,8404,8124,280
,1343,8444,8124,320
,1319,8436,8124,312
,1351,8442,8124,318
,1290,8424,8124,300
,1274,8419,8124,295
,1287,8406,8124,282
,1299,8426,8124,302
Avg of 400
,1585,8477,8124,353
,1611,8486,8124,362
,1618,8500,8124,376
,1634,8514,8124,390
,1652,8517,8124,393
,1654,8518,8124,394
,1621,8508,8124,384
,1573,8472,8124,348
,1687,8525,8124,401
,1639,8501,8124,377
Avg of 500
,2008,8606,8124,482
,1968,8591,8124,467
,1947,8563,8124,439
,1995,8612,8124,488
,1994,8602,8124,478
,1890,8553,8124,429
,1929,8557,8124,433
,1956,8579,8124,455
,1962,8582,8124,458
,1928,8582,8124,458
Avg of 600
,2236,8640,8124,516
,2200,8613,8124,489
,2182,8615,8124,491
,2214,8634,8124,510
,2307,8689,8124,565
,2240,8632,8124,508
,2211,8636,8124,512
,2227,8639,8124,515
,2281,8674,8124,550
,2218,8650,8124,526
Avg of 700
,2598,8746,8124,622
,2475,8685,8124,561
,2584,8750,8124,626
,2595,8757,8124,633
,2588,8739,8124,615
,2536,8728,8124,604
,2571,8752,8124,628
,2506,8704,8124,580
,2553,8737,8124,613
,2548,8715,8124,591
Avg of 800
,2823,8777,8124,653
,2859,8767,8124,643
,2879,8805,8124,681
,2848,8823,8124,699
,2826,8811,8124,687
,2872,8812,8124,688
,2831,8792,8124,668
,2854,8797,8124,673
,2889,8822,8124,698
,2744,8748,8124,624
Avg of 900
,3170,8905,8124,781
,3109,8852,8124,728
,3090,8867,8124,743
,3143,8889,8124,765
,3228,8903,8124,779
,3244,8952,8124,828
,3188,8904,8124,780
,3157,8894,8124,770
,3148,8888,8124,764
,3266,8944,8124,820
Avg of 1000
Random Target, HV, HV, HV, HV
,311,8186,8124,62
,311,8188,8124,64
,341,8205,8124,81
,305,8187,8124,63
,347,8209,8124,85
,328,8193,8124,69
,327,8192,8124,68
,316,8191,8124,67
,336,8202,8124,78
,302,8179,8124,55
Avg of 100
,622,8250,8124,126
,662,8280,8124,156
,619,8253,8124,129
,655,8278,8124,154
,640,8264,8124,140
,650,8268,8124,144
,668,8291,8124,167
,604,8252,8124,128
,661,8280,8124,156
,658,8279,8124,155
Avg of 200
,972,8348,8124,224
,944,8331,8124,207
,932,8329,8124,205
,969,8349,8124,225
,985,8348,8124,224
,975,8349,8124,225
,961,8331,8124,207
,1015,8370,8124,246
,1004,8356,8124,232
,980,8345,8124,221
Avg of 300
,1362,8465,8124,341
,1244,8411,8124,287
,1280,8412,8124,288
,1277,8403,8124,279
,1300,8436,8124,312
,1307,8433,8124,309
,1260,8402,8124,278
,1260,8405,8124,281
,1269,8411,8124,287
,1284,8410,8124,286
Avg of 400
,1616,8500,8124,376
,1598,8491,8124,367
,1633,8511,8124,387
,1540,8467,8124,343
,1531,8466,8124,342
,1579,8479,8124,355
,1598,8513,8124,389
,1602,8495,8124,371
,1603,8507,8124,383
,1600,8504,8124,380
Avg of 500
,1840,8531,8124,407
,1903,8577,8124,453
,1849,8532,8124,408
,1892,8563,8124,439
,1938,8596,8124,472
,1917,8576,8124,452
,1885,8584,8124,460
,1935,8588,8124,464
,1874,8538,8124,414
,1890,8558,8124,434
Avg of 600
,2243,8649,8124,525
,2197,8647,8124,523
,2175,8610,8124,486
,2262,8661,8124,537
,2136,8604,8124,480
,2121,8595,8124,471
,2241,8659,8124,535
,2099,8572,8124,448
,2175,8612,8124,488
,2180,8630,8124,506
Avg of 700
,2488,8708,8124,584
,2506,8717,8124,593
,2534,8744,8124,620
,2457,8688,8124,564
,2581,8749,8124,625
,2477,8713,8124,589
,2532,8726,8124,602
,2584,8768,8124,644
,2473,8710,8124,586
,2521,8731,8124,607
Avg of 800
,2775,8794,8124,670
,2863,8830,8124,706
,2794,8800,8124,676
,2847,8828,8124,704
,2746,8789,8124,665
,2740,8760,8124,636
,2766,8801,8124,677
,2764,8775,8124,651
,2919,8841,8124,717
,2863,8836,8124,712
Avg of 900
,3113,8883,8124,759
,3055,8844,8124,720
,3041,8846,8124,722
,3072,8871,8124,747
,3044,8841,8124,717
,3121,8865,8124,741
,3069,8860,8124,736
,3063,8859,8124,735
,3039,8841,8124,717
,3105,8876,8124,752
Avg of 1000
Random Target, HV2, HV2, HV2, HV2
,322,8193,8124,69
,336,8205,8124,81
,321,8190,8124,66
,326,8195,8124,71
,317,8190,8124,66
,320,8194,8124,70
,323,8195,8124,71
,326,8196,8124,72
,325,8190,8124,66
,318,8193,8124,69
Avg of 100
,634,8261,8124,137
,697,8300,8124,176
,618,8254,8124,130
,611,8252,8124,128
,625,8253,8124,129
,628,8247,8124,123
,638,8260,8124,136
,648,8266,8124,142
,686,8285,8124,161
,638,8266,8124,142
Avg of 200
,985,8355,8124,231
,964,8339,8124,215
,952,8334,8124,210
,964,8347,8124,223
,935,8325,8124,201
,954,8332,8124,208
,992,8359,8124,235
,970,8355,8124,231
,998,8364,8124,240
,1008,8370,8124,246
Avg of 300
,1295,8415,8124,291
,1277,8408,8124,284
,1300,8424,8124,300
,1349,8455,8124,331
,1281,8425,8124,301
,1265,8414,8124,290
,1252,8393,8124,269
,1296,8428,8124,304
,1288,8423,8124,299
,1219,8390,8124,266
Avg of 400
,1599,8490,8124,366
,1573,8472,8124,348
,1591,8490,8124,366
,1503,8435,8124,311
,1570,8477,8124,353
,1515,8450,8124,326
,1541,8466,8124,342
,1567,8467,8124,343
,1610,8514,8124,390
,1566,8485,8124,361
Avg of 500
,1822,8528,8124,404
,1894,8562,8124,438
,1834,8528,8124,404
,1895,8557,8124,433
,1849,8545,8124,421
,1894,8560,8124,436
,1866,8541,8124,417
,1847,8538,8124,414
,1867,8549,8124,425
,1985,8621,8124,497
Avg of 600
,2191,8640,8124,516
,2151,8626,8124,502
,2246,8650,8124,526
,2146,8604,8124,480
,2162,8613,8124,489
,2195,8629,8124,505
,2159,8626,8124,502
,2215,8653,8124,529
,2120,8578,8124,454
,2271,8694,8124,570
Avg of 700
,2438,8683,8124,559
,2456,8685,8124,561
,2551,8732,8124,608
,2536,8722,8124,598
,2535,8745,8124,621
,2554,8744,8124,620
,2459,8680,8124,556
,2495,8706,8124,582
,2515,8714,8124,590
,2446,8692,8124,568
Avg of 800
,2856,8830,8124,706
,2872,8845,8124,721
,2742,8766,8124,642
,2837,8807,8124,683
,2780,8781,8124,657
,2730,8750,8124,626
,2742,8753,8124,629
,2808,8791,8124,667
,2748,8789,8124,665
,2739,8766,8124,642
Avg of 900
,3102,8882,8124,758
,3120,8878,8124,754
,3131,8878,8124,754
,3102,8886,8124,762
,2975,8796,8124,672
,3130,8905,8124,781
,3117,8865,8124,741
,3095,8862,8124,738
,3072,8861,8124,737
,3043,8840,8124,716
Avg of 1000
Random Target, KNN, KNN, KNN, KNN
,276,8174,8124,50
,286,8181,8124,57
,271,8172,8124,48
,299,8189,8124,65
,288,8183,8124,59
,275,8176,8124,52
,279,8174,8124,50
,278,8171,8124,47
,267,8167,8124,43
,296,8185,8124,61
Avg of 100
,559,8229,8124,105
,605,8258,8124,134
,578,8240,8124,116
,551,8225,8124,101
,602,8248,8124,124
,612,8260,8124,136
,556,8223,8124,99
,568,8240,8124,116
,606,8263,8124,139
,538,8211,8124,87
Avg of 200
,899,8320,8124,196
,826,8280,8124,156
,829,8282,8124,158
,863,8302,8124,178
,859,8296,8124,172
,822,8264,8124,140
,846,8297,8124,173
,827,8277,8124,153
,860,8307,8124,183
,840,8286,8124,162
Avg of 300
,1074,8312,8124,188
,1120,8354,8124,230
,1129,8347,8124,223
,1133,8350,8124,226
,1139,8347,8124,223
,1093,8334,8124,210
,1154,8376,8124,252
,1094,8333,8124,209
,1097,8334,8124,210
,1122,8342,8124,218
Avg of 400
,1377,8400,8124,276
,1344,8369,8124,245
,1394,8398,8124,274
,1378,8398,8124,274
,1386,8401,8124,277
,1355,8379,8124,255
,1382,8390,8124,266
,1359,8387,8124,263
,1410,8410,8124,286
,1375,8383,8124,259
Avg of 500
,1639,8448,8124,324
,1680,8477,8124,353
,1669,8453,8124,329
,1710,8491,8124,367
,1621,8435,8124,311
,1656,8460,8124,336
,1672,8474,8124,350
,1643,8444,8124,320
,1673,8455,8124,331
,1620,8442,8124,318
Avg of 600
,1924,8508,8124,384
,1889,8513,8124,389
,1906,8508,8124,384
,1868,8482,8124,358
,1978,8548,8124,424
,1905,8488,8124,364
,1880,8482,8124,358
,1930,8526,8124,402
,1927,8517,8124,393
,1978,8543,8124,419
Avg of 700
,2204,8577,8124,453
,2067,8523,8124,399
,2163,8579,8124,455
,2187,8546,8124,422
,2181,8570,8124,446
,2178,8567,8124,443
,2162,8555,8124,431
,2281,8639,8124,515
,2173,8563,8124,439
,2143,8560,8124,436
Avg of 800
,2410,8622,8124,498
,2455,8647,8124,523
,2431,8599,8124,475
,2467,8648,8124,524
,2389,8599,8124,475
,2504,8672,8124,548
,2441,8612,8124,488
,2504,8643,8124,519
,2469,8648,8124,524
,2430,8632,8124,508
Avg of 900
,2655,8676,8124,552
,2587,8623,8124,499
,2767,8736,8124,612
,2706,8700,8124,576
,2685,8682,8124,558
,2615,8629,8124,505
,2698,8692,8124,568
,2753,8700,8124,576
,2731,8710,8124,586
,2665,8688,8124,564
Avg of 1000
Random Target, KNN2, KNN2, KNN2, KNN2
,293,8179,8124,55
,288,8180,8124,56
,268,8164,8124,40
,290,8180,8124,56
,304,8188,8124,64
,325,8200,8124,76
,288,8177,8124,53
,309,8193,8124,69
,297,8188,8124,64
,300,8187,8124,63
Avg of 100
,580,8245,8124,121
,544,8224,8124,100
,605,8255,8124,131
,593,8251,8124,127
,612,8260,8124,136
,593,8250,8124,126
,584,8249,8124,125
,604,8254,8124,130
,593,8245,8124,121
,601,8256,8124,132
Avg of 200
,849,8290,8124,166
,911,8327,8124,203
,892,8310,8124,186
,843,8290,8124,166
,864,8290,8124,166
,872,8302,8124,178
,899,8323,8124,199
,882,8315,8124,191
,842,8282,8124,158
,853,8298,8124,174
Avg of 300
,1206,8394,8124,270
,1184,8392,8124,268
,1108,8341,8124,217
,1148,8355,8124,231
,1211,8391,8124,267
,1107,8335,8124,211
,1136,8349,8124,225
,1108,8340,8124,216
,1123,8346,8124,222
,1115,8338,8124,214
Avg of 400
,1443,8417,8124,293
,1439,8432,8124,308
,1432,8432,8124,308
,1398,8416,8124,292
,1363,8380,8124,256
,1483,8448,8124,324
,1455,8443,8124,319
,1434,8416,8124,292
,1502,8465,8124,341
,1389,8409,8124,285
Avg of 500
,1725,8486,8124,362
,1697,8482,8124,358
,1679,8477,8124,353
,1738,8508,8124,384
,1761,8521,8124,397
,1708,8484,8124,360
,1681,8482,8124,358
,1740,8509,8124,385
,1765,8522,8124,398
,1683,8478,8124,354
Avg of 600
,2012,8590,8124,466
,1982,8541,8124,417
,2041,8583,8124,459
,1966,8539,8124,415
,1969,8532,8124,408
,2037,8584,8124,460
,1987,8547,8124,423
,1953,8567,8124,443
,2037,8567,8124,443
,1902,8511,8124,387
Avg of 700
,2217,8592,8124,468
,2242,8597,8124,473
,2191,8578,8124,454
,2258,8623,8124,499
,2231,8610,8124,486
,2222,8589,8124,465
,2315,8641,8124,517
,2309,8646,8124,522
,2251,8616,8124,492
,2223,8596,8124,472
Avg of 800
,2520,8675,8124,551
,2545,8678,8124,554
,2441,8648,8124,524
,2540,8699,8124,575
,2566,8718,8124,594
,2460,8638,8124,514
,2396,8595,8124,471
,2590,8726,8124,602
,2607,8730,8124,606
,2439,8636,8124,512
Avg of 900
,2784,8728,8124,604
,2800,8737,8124,613
,2730,8712,8124,588
,2844,8772,8124,648
,2703,8692,8124,568
,2733,8728,8124,604
,2688,8695,8124,571
,2758,8719,8124,595
,2710,8702,8124,578
,2731,8715,8124,591
Avg of 1000
Random Target, LR, LR, LR, LR
,224,8137,8124,13
,235,8147,8124,23
,221,8138,8124,14
,218,8135,8124,11
,218,8137,8124,13
,227,8142,8124,18
,221,8140,8124,16
,220,8137,8124,13
,234,8144,8124,20
,225,8139,8124,15
Avg of 100
,434,8148,8124,24
