Random Walk, DT, DT, DT, DT
,1814,8183,8124,59
,1708,8197,8124,73
,1622,8211,8124,87
,1705,8199,8124,75
,1740,8199,8124,75
,1699,8199,8124,75
,1732,8194,8124,70
,1805,8184,8124,60
,1725,8192,8124,68
,1689,8197,8124,73
Avg of 100
,3555,8259,8124,135
,3376,8271,8124,147
,3541,8246,8124,122
,3424,8261,8124,137
,3340,8271,8124,147
,3254,8286,8124,162
,3491,8266,8124,142
,3590,8234,8124,110
,3531,8256,8124,132
,3534,8244,8124,120
Avg of 200
,5454,8289,8124,165
,5147,8336,8124,212
,5245,8305,8124,181
,5303,8321,8124,197
,5135,8333,8124,209
,5137,8341,8124,217
,4962,8364,8124,240
,5453,8302,8124,178
,5112,8352,8124,228
,5045,8355,8124,231
Avg of 300
,6889,8397,8124,273
,6913,8425,8124,301
,6883,8398,8124,274
,6821,8419,8124,295
,6933,8410,8124,286
,6800,8411,8124,287
,6874,8408,8124,284
,6875,8412,8124,288
,7057,8396,8124,272
,7153,8349,8124,225
Avg of 400
,8733,8468,8124,344
,8669,8464,8124,340
,8802,8445,8124,321
,8620,8467,8124,343
,8551,8488,8124,364
,8727,8481,8124,357
,8372,8486,8124,362
,8634,8452,8124,328
,8786,8458,8124,334
,8630,8489,8124,365
Avg of 500
,10382,8520,8124,396
,10408,8514,8124,390
,10510,8537,8124,413
,10391,8533,8124,409
,10343,8562,8124,438
,10451,8522,8124,398
,10219,8560,8124,436
,10336,8566,8124,442
,10420,8534,8124,410
,10380,8550,8124,426
Avg of 600
,11916,8663,8124,539
,12292,8565,8124,441
,12162,8614,8124,490
,12066,8600,8124,476
,11930,8652,8124,528
,12047,8605,8124,481
,11754,8651,8124,527
,12209,8606,8124,482
,12292,8589,8124,465
,12030,8642,8124,518
Avg of 700
,13737,8689,8124,565
,14013,8647,8124,523
,14051,8646,8124,522
,13630,8707,8124,583
,13778,8674,8124,550
,13614,8683,8124,559
,13663,8690,8124,566
,13692,8677,8124,553
,13855,8659,8124,535
,13746,8687,8124,563
Avg of 800
,15382,8759,8124,635
,15728,8714,8124,590
,15540,8741,8124,617
,15532,8722,8124,598
,15709,8760,8124,636
,15855,8721,8124,597
,15850,8718,8124,594
,15407,8756,8124,632
,15582,8760,8124,636
,15849,8703,8124,579
Avg of 900
,17064,8814,8124,690
,17285,8815,8124,691
,17226,8805,8124,681
,17571,8818,8124,694
,16963,8850,8124,726
,17106,8852,8124,728
,17522,8785,8124,661
,17480,8816,8124,692
,17235,8837,8124,713
,17273,8803,8124,679
Avg of 1000
Random Walk, DT2, DT2, DT2, DT2
,1636,8213,8124,89
,1737,8198,8124,74
,1707,8192,8124,68
,1742,8201,8124,77
,1749,8194,8124,70
,1777,8189,8124,65
,1799,8178,8124,54
,1786,8190,8124,66
,1681,8194,8124,70
,1782,8182,8124,58
Avg of 100
,3518,8257,8124,133
,3430,8274,8124,150
,3389,8284,8124,160
,3386,8277,8124,153
,3486,8257,8124,133
,3392,8264,8124,140
,3422,8259,8124,135
,3527,8250,8124,126
,3454,8263,8124,139
,3418,8268,8124,144
Avg of 200
,5265,8330,8124,206
,5151,8334,8124,210
,5187,8329,8124,205
,5220,8344,8124,220
,5221,8323,8124,199
,4966,8358,8124,234
,5111,8334,8124,210
,5382,8302,8124,178
,5173,8353,8124,229
,4993,8365,8124,241
Avg of 300
,7123,8360,8124,236
,6915,8396,8124,272
,6992,8402,8124,278
,6619,8445,8124,321
,6943,8417,8124,293
,7078,8371,8124,247
,6908,8399,8124,275
,6955,8402,8124,278
,6883,8399,8124,275
,6806,8421,8124,297
Avg of 400
,8428,8494,8124,370
,8640,8465,8124,341
,8554,8469,8124,345
,8608,8472,8124,348
,8689,8466,8124,342
,8789,8438,8124,314
,8576,8490,8124,366
,8693,8448,8124,324
,8537,8476,8124,352
,8577,8449,8124,325
Avg of 500
,10350,8536,8124,412
,10156,8569,8124,445
,10066,8589,8124,465
,10409,8548,8124,424
,10422,8520,8124,396
,10345,8556,8124,432
,10350,8509,8124,385
,10205,8565,8124,441
,10208,8530,8124,406
,10244,8529,8124,405
Avg of 600
,11729,8641,8124,517
,12058,8623,8124,499
,12397,8577,8124,453
,11713,8652,8124,528
,11910,8645,8124,521
,11698,8650,8124,526
,11756,8666,8124,542
,12278,8588,8124,464
,12275,8591,8124,467
,11804,8665,8124,541
Avg of 700
,13660,8719,8124,595
,13584,8715,8124,591
,13896,8660,8124,536
,13730,8715,8124,591
,13539,8717,8124,593
,14015,8694,8124,570
,14043,8647,8124,523
,13729,8683,8124,559
,13484,8750,8124,626
,13853,8720,8124,596
Avg of 800
,15622,8716,8124,592
,15409,8769,8124,645
,15242,8781,8124,657
,15567,8755,8124,631
,15627,8762,8124,638
,15500,8738,8124,614
,15860,8739,8124,615
,15485,8754,8124,630
,15547,8749,8124,625
,15947,8686,8124,562
Avg of 900
,17000,8842,8124,718
,17244,8842,8124,718
,16959,8863,8124,739
,17275,8831,8124,707
,17237,8838,8124,714
,16835,8886,8124,762
,17483,8804,8124,680
,17344,8809,8124,685
,16947,8858,8124,734
,17224,8805,8124,681
Avg of 1000
Random Walk, HV, HV, HV, HV
,1528,8211,8124,87
,1574,8213,8124,89
,1712,8191,8124,67
,1596,8209,8124,85
,1679,8183,8124,59
,1817,8186,8124,62
,1759,8191,8124,67
,1641,8191,8124,67
,1589,8203,8124,79
,1687,8191,8124,67
Avg of 100
,3414,8265,8124,141
,3330,8285,8124,161
,3184,8298,8124,174
,3211,8290,8124,166
,3440,8272,8124,148
,3359,8271,8124,147
,3235,8282,8124,158
,3352,8275,8124,151
,3357,8272,8124,148
,3365,8272,8124,148
Avg of 200
,4987,8359,8124,235
,5032,8350,8124,226
,4896,8370,8124,246
,5029,8371,8124,247
,4946,8365,8124,241
,5093,8349,8124,225
,4907,8387,8124,263
,5060,8353,8124,229
,5037,8350,8124,226
,5020,8365,8124,241
Avg of 300
,6587,8439,8124,315
,6506,8444,8124,320
,6475,8453,8124,329
,6615,8445,8124,321
,6602,8428,8124,304
,6714,8407,8124,283
,6617,8452,8124,328
,6594,8440,8124,316
,6655,8442,8124,318
,6784,8390,8124,266
Avg of 400
,8297,8495,8124,371
,8371,8477,8124,353
,8342,8511,8124,387
,8289,8518,8124,394
,8195,8534,8124,410
,8363,8515,8124,391
,8514,8496,8124,372
,8412,8494,8124,370
,8209,8519,8124,395
,8176,8536,8124,412
Avg of 500
,10093,8577,8124,453
,9831,8598,8124,474
,9811,8584,8124,460
,9807,8608,8124,484
,9994,8594,8124,470
,10221,8558,8124,434
,10140,8566,8124,442
,9970,8580,8124,456
,9969,8578,8124,454
,10250,8553,8124,429
Avg of 600
,11839,8647,8124,523
,11988,8625,8124,501
,11649,8667,8124,543
,11541,8682,8124,558
,11651,8668,8124,544
,11551,8679,8124,555
,11700,8660,8124,536
,11469,8678,8124,554
,11718,8653,8124,529
,11877,8634,8124,510
Avg of 700
,12975,8765,8124,641
,13504,8714,8124,590
,13159,8762,8124,638
