Directed Walk,DT, DT, DT, DT
,27878,1015,100,915
,28014,1049,100,949
,27804,999,100,899
,27868,1029,100,929
,27979,1040,100,940
,27431,961,100,861
,27857,1037,100,937
,28023,1058,100,958
,27875,1046,100,946
,27775,1018,100,918
Avg of 100
,55636,2018,200,1818
,55274,2004,200,1804
,55680,2076,200,1876
,55390,2005,200,1805
,55168,1978,200,1778
,55698,2036,200,1836
,55819,2059,200,1859
,55451,2006,200,1806
,55541,2008,200,1808
,55258,1954,200,1754
Avg of 200
,83432,3045,300,2745
,83377,3030,300,2730
,83131,3031,300,2731
,83201,3012,300,2712
,83181,3053,300,2753
,83431,3063,300,2763
,82862,2957,300,2657
,83249,3097,300,2797
,83053,3014,300,2714
,83192,3014,300,2714
Avg of 300
,110594,4002,400,3602
,111160,4107,400,3707
,111016,4028,400,3628
,110528,3958,400,3558
,110315,3963,400,3563
,110299,3967,400,3567
,110431,3974,400,3574
,110910,3996,400,3596
,111387,4117,400,3717
,110493,3970,400,3570
Avg of 400
,138463,4977,500,4477
,138691,5040,500,4540
,138460,5037,500,4537
,139234,5104,500,4604
,139008,5105,500,4605
,138677,5014,500,4514
,138062,4952,500,4452
,138568,5023,500,4523
,138754,5062,500,4562
,138790,5033,500,4533
Avg of 500
,166925,6124,600,5524
,166375,6041,600,5441
,166563,6147,600,5547
,166150,6079,600,5479
,166599,6130,600,5530
,166727,6073,600,5473
,166711,6051,600,5451
,166459,6058,600,5458
,166292,6044,600,5444
,166985,6165,600,5565
Avg of 600
,194296,7042,700,6342
,194397,7087,700,6387
,194268,7086,700,6386
,193940,7048,700,6348
,194309,7104,700,6404
,194781,7123,700,6423
,193953,7031,700,6331
,194219,7122,700,6422
,193460,6973,700,6273
,194367,7067,700,6367
Avg of 700
,221435,8039,800,7239
,221422,8002,800,7202
,222363,8125,800,7325
,221802,8040,800,7240
,221910,8081,800,7281
,221450,7990,800,7190
,221578,8106,800,7306
,222026,8091,800,7291
,221135,7968,800,7168
,221738,8037,800,7237
Avg of 800
,249517,9061,900,8161
,250325,9173,900,8273
,249431,9046,900,8146
,249331,9064,900,8164
,249730,9157,900,8257
,250203,9178,900,8278
,249483,9097,900,8197
,249234,9049,900,8149
,249243,9024,900,8124
,249716,9081,900,8181
Avg of 900
,277808,10169,1000,9169
,277483,10116,1000,9116
,276888,10043,1000,9043
,277947,10233,1000,9233
,277736,10155,1000,9155
,277658,10167,1000,9167
,277810,10230,1000,9230
,277738,10136,1000,9136
,277370,10100,1000,9100
,277516,10173,1000,9173
Avg of 1000
Directed Walk,DT2,DT2,DT2,DT2
,29799,1381,100,1281
,29669,1342,100,1242
,29547,1357,100,1257
,30048,1431,100,1331
,29540,1358,100,1258
,29731,1424,100,1324
,29188,1297,100,1197
,29869,1402,100,1302
,29581,1371,100,1271
,29332,1332,100,1232
Avg of 100
,59910,2819,200,2619
,58949,2686,200,2486
,59100,2692,200,2492
,58717,2675,200,2475
,58884,2662,200,2462
,58863,2688,200,2488
,59459,2726,200,2526
,59362,2746,200,2546
,59350,2797,200,2597
,59430,2762,200,2562
Avg of 200
,88300,4051,300,3751
,88580,4039,300,3739
,89511,4149,300,3849
,89100,4140,300,3840
,88997,4102,300,3802
,89396,4163,300,3863
,89126,4202,300,3902
,89176,4178,300,3878
,88788,4072,300,3772
,89350,4198,300,3898
Avg of 300
,117893,5366,400,4966
,118382,5458,400,5058
,118690,5482,400,5082
,118888,5524,400,5124
,118810,5484,400,5084
,118140,5372,400,4972
,118415,5437,400,5037
,118214,5413,400,5013
,117998,5398,400,4998
,118011,5280,400,4880
Avg of 400
,148610,6850,500,6350
,148273,6820,500,6320
,148606,6898,500,6398
,147687,6797,500,6297
